"Date","X1","X2","X3","X4","X5","X6","S"
"105/08/12",8,35,43,33,20,42,10
"105/08/09",15,37,35,17,45,30,41
"105/08/05",27,40,2,35,22,1,33
"105/08/02",15,4,20,22,28,29,1
"105/07/29",28,9,27,15,30,41,13
"105/07/26",35,41,19,22,9,15,37
"105/07/22",17,10,33,2,49,27,15
"105/07/19",7,46,40,33,45,13,39
"105/07/15",29,24,25,35,33,38,49
"105/07/12",42,31,46,43,25,34,5
"105/07/08",13,10,9,19,35,23,38
"105/07/05",9,17,40,6,15,47,24
"105/07/01",41,34,20,43,24,8,32
"105/06/28",25,46,45,8,39,7,38
"105/06/24",17,14,39,41,27,28,18
"105/06/21",36,27,2,49,35,34,26
"105/06/17",17,21,31,10,7,20,49
"105/06/14",33,12,37,35,13,16,18
"105/06/10",23,4,48,22,15,13,3
"105/06/07",5,39,31,8,44,23,19
"105/06/03",10,3,41,33,27,44,7
"105/05/31",1,46,32,5,2,45,43
"105/05/27",2,24,13,39,9,16,41
"105/05/24",8,21,13,33,39,6,45
"105/05/20",40,25,43,10,5,30,26
"105/05/17",2,42,3,20,23,34,40
"105/05/13",10,31,35,38,22,3,37
"105/05/10",36,38,22,3,4,8,7
"105/05/06",26,48,1,42,39,37,41
"105/05/03",40,1,7,17,43,41,33
"105/04/29",8,27,36,31,14,40,3
"105/04/26",12,6,34,43,21,25,28
"105/04/22",48,33,46,19,12,23,29
"105/04/19",12,41,47,46,39,21,14
"105/04/15",28,47,13,45,17,9,3
"105/04/12",19,11,49,45,39,14,23
"105/04/08",36,45,7,30,13,2,43
"105/04/05",14,32,38,43,23,26,3
"105/04/01",39,12,16,29,8,37,40
"105/03/29",47,18,46,1,34,17,25
"105/03/25",37,41,7,11,40,22,20
"105/03/22",33,7,16,20,30,11,6
"105/03/18",4,18,1,3,25,47,13
"105/03/15",14,48,6,30,42,47,18
"105/03/11",9,34,49,36,16,30,31
"105/03/08",3,30,27,39,41,35,32
"105/03/04",29,7,5,12,22,17,4
"105/03/01",34,17,23,14,7,22,12
"105/02/26",3,46,21,9,17,41,27
"105/02/23",20,14,19,43,45,10,22
"105/02/19",23,20,44,30,11,39,49
"105/02/16",23,33,11,34,40,29,6
"105/02/14",21,3,26,16,20,1,22
"105/02/13",6,18,29,35,4,48,20
"105/02/12",32,22,6,10,11,45,4
"105/02/11",3,34,13,48,29,30,28
"105/02/10",19,32,22,47,18,44,9
"105/02/09",31,25,9,24,45,37,12
"105/02/08",27,12,8,32,13,16,24
"105/02/07",21,11,4,37,35,25,43
"105/02/05",41,5,30,4,26,38,28
"105/02/02",48,15,21,26,43,23,34
"105/01/29",16,38,35,45,48,44,27
"105/01/26",17,46,35,11,13,39,2
"105/01/22",46,20,10,17,15,43,37
"105/01/19",14,9,46,4,23,44,41
"105/01/15",27,11,42,6,16,17,35
"105/01/12",18,15,5,44,40,39,37
"105/01/08",13,28,44,3,48,10,1
"105/01/05",7,33,15,25,3,1,21
"105/01/01",16,41,29,19,24,43,32
"104/12/29",8,30,32,42,13,1,11
"104/12/25",12,7,3,16,30,11,13
"104/12/22",29,49,37,12,13,8,43
"104/12/18",25,18,15,6,5,11,31
"104/12/15",22,18,31,23,11,4,19
"104/12/11",42,25,1,43,4,29,11
"104/12/08",15,8,40,43,36,32,3
"104/12/04",16,21,34,47,37,41,29
"104/12/01",41,37,13,6,19,15,22
"104/11/27",4,41,5,23,40,25,11
"104/11/24",48,1,9,29,28,13,45
"104/11/20",40,9,4,10,39,42,8
"104/11/17",2,44,7,47,31,26,36
"104/11/13",33,18,16,11,31,1,19
"104/11/10",7,27,45,11,10,28,21
"104/11/06",30,45,27,49,8,24,42
"104/11/03",28,45,8,16,48,22,13
"104/10/30",15,8,20,3,6,30,40
"104/10/27",7,17,34,8,10,36,43
"104/10/23",1,41,16,43,47,46,25
"104/10/20",32,12,37,17,39,38,27
"104/10/16",31,20,29,44,25,40,21
"104/10/13",24,29,32,44,49,31,39
"104/10/09",35,2,8,27,22,43,24
"104/10/06",8,10,28,3,38,47,13
"104/10/02",44,11,45,36,41,15,35
"104/09/29",1,35,3,25,44,31,15
"104/09/25",13,38,25,21,9,39,2
"104/09/22",47,46,6,10,39,44,30
"104/09/18",16,6,17,41,37,36,28
"104/09/15",44,13,30,34,31,2,39
"104/09/11",41,10,5,29,18,44,30
"104/09/08",8,31,43,28,36,32,9
"104/09/04",20,49,46,19,44,47,9
"104/09/01",20,48,40,18,19,9,3
"104/08/28",15,11,46,40,8,12,16
"104/08/25",45,22,13,26,47,15,49
"104/08/21",20,10,15,21,36,27,45
"104/08/18",29,49,30,8,20,42,21
"104/08/14",13,23,42,5,24,14,35
"104/08/11",45,43,46,2,35,1,14
"104/08/07",25,36,28,27,37,26,38
"104/08/04",48,12,3,19,17,38,43
"104/07/31",30,40,13,16,32,18,29
"104/07/28",49,32,6,27,15,44,16
"104/07/24",25,10,12,42,33,39,29
"104/07/21",16,44,40,9,8,39,28
"104/07/17",33,4,27,7,20,40,38
"104/07/14",45,30,10,12,14,19,41
"104/07/10",6,5,26,13,47,29,33
"104/07/07",46,33,1,27,14,42,41
"104/07/03",21,23,29,41,46,28,24
"104/06/30",18,35,19,48,46,32,47
"104/06/26",6,12,5,41,29,28,7
"104/06/23",45,2,13,35,33,43,5
"104/06/19",18,11,5,25,38,3,15
"104/06/16",35,41,4,25,3,45,7
"104/06/12",28,8,24,22,19,26,18
"104/06/09",37,3,20,27,44,34,12
"104/06/05",41,8,48,32,21,35,34
"104/06/02",7,1,20,19,46,47,13
"104/05/29",2,34,32,11,28,5,24
"104/05/26",10,26,45,11,2,20,30
"104/05/22",23,3,43,28,37,21,5
"104/05/19",46,16,15,42,29,39,14
"104/05/15",27,32,18,6,29,3,40
"104/05/12",1,23,29,31,13,33,17
"104/05/08",44,15,2,28,10,49,39
"104/05/05",44,41,28,42,49,8,30
"104/05/01",15,49,25,29,47,8,9
"104/04/28",3,44,36,26,12,5,23
"104/04/24",13,25,41,46,35,31,49
"104/04/21",1,22,3,33,29,11,30
"104/04/17",47,45,26,36,33,32,39
"104/04/14",38,1,48,49,23,22,11
"104/04/10",44,17,10,11,42,20,13
"104/04/07",17,47,11,45,19,33,4
"104/04/03",36,13,43,32,42,40,41
"104/03/31",2,32,43,13,25,4,15
"104/03/27",12,36,24,13,18,15,39
"104/03/24",9,4,6,17,3,24,28
"104/03/20",4,13,7,29,9,46,8
"104/03/17",36,42,49,5,32,40,1
"104/03/13",6,22,9,14,33,16,11
"104/03/10",11,25,46,47,3,34,42
"104/03/06",44,22,21,6,37,35,29
"104/03/03",43,46,41,6,11,4,21
"104/02/27",2,6,43,38,27,34,45
"104/02/24",46,39,28,3,48,41,9
"104/02/23",21,20,43,38,32,14,23
"104/02/22",6,3,12,37,34,43,28
"104/02/21",27,17,40,2,11,5,20
"104/02/20",10,45,29,5,9,28,41
"104/02/19",25,40,7,49,31,27,11
"104/02/18",15,27,6,16,3,31,14
"104/02/17",11,15,23,46,40,3,13
"104/02/13",25,1,29,9,15,35,38
"104/02/10",29,14,44,26,15,35,9
"104/02/06",11,42,5,29,46,36,48
"104/02/03",30,13,16,18,5,15,8
"104/01/30",35,14,24,39,3,44,28
"104/01/27",45,4,27,15,9,21,6
"104/01/23",20,16,39,42,38,8,29
"104/01/20",47,35,28,45,9,24,48
"104/01/16",2,46,17,32,38,28,49
"104/01/13",46,14,22,37,2,16,49
"104/01/09",18,7,24,21,23,8,11
"104/01/06",16,37,43,11,30,29,13
"104/01/02",31,23,48,29,22,13,6
"103/12/30",48,49,7,44,32,30,45
"103/12/26",49,32,42,45,9,27,30
"103/12/23",32,39,3,31,30,27,35
"103/12/19",9,1,24,41,32,49,40
"103/12/16",35,45,34,32,17,28,8
"103/12/12",24,8,29,32,7,48,37
"103/12/09",41,23,9,7,43,33,24
"103/12/05",47,30,11,34,37,18,17
"103/12/02",11,26,42,13,9,23,47
"103/11/28",35,44,1,40,10,21,36
"103/11/25",15,32,16,1,44,48,40
"103/11/21",3,32,2,34,26,22,40
"103/11/18",12,20,43,11,28,26,6
"103/11/14",44,15,41,29,16,34,49
"103/11/11",18,23,11,36,5,43,14
"103/11/07",49,25,40,27,19,11,33
"103/11/04",20,38,3,35,30,41,47
"103/10/31",14,8,27,49,10,2,20
"103/10/28",16,32,25,5,37,44,21
"103/10/24",36,1,20,45,17,37,15
"103/10/21",31,44,42,28,14,38,45
"103/10/17",32,36,33,2,20,11,39
"103/10/14",47,36,20,9,14,10,8
"103/10/10",11,26,1,24,28,19,33
"103/10/07",45,40,17,47,18,41,29
"103/10/03",10,14,19,37,24,35,39
"103/09/30",49,41,18,47,36,35,15
"103/09/26",15,19,29,22,37,8,39
"103/09/23",38,28,20,32,2,11,16
"103/09/19",6,17,29,2,32,39,4
"103/09/16",41,19,7,18,16,12,45
"103/09/12",27,49,2,36,31,23,15
"103/09/09",42,49,21,41,29,23,14
"103/09/05",16,25,32,10,36,27,45
"103/09/02",39,36,43,7,8,42,22
"103/08/29",39,38,21,23,10,9,35
"103/08/26",23,32,43,19,1,17,9
"103/08/22",43,8,23,30,16,31,18
"103/08/19",12,19,6,7,14,9,17
"103/08/15",47,46,29,23,18,48,5
"103/08/12",12,10,6,4,34,45,44
"103/08/08",32,42,26,45,38,31,37
"103/08/05",40,11,26,33,4,42,34
"103/08/01",45,8,21,32,5,23,18
"103/07/29",47,36,32,31,44,34,46
"103/07/25",45,30,21,32,5,35,26
"103/07/22",28,3,13,9,17,42,14
"103/07/18",19,15,21,2,30,1,40
"103/07/15",7,32,18,23,48,34,13
"103/07/11",7,18,30,1,15,14,33
"103/07/08",33,10,39,22,47,25,38
"103/07/04",48,14,24,17,27,3,28
"103/07/01",9,21,48,8,7,6,18
"103/06/27",35,34,36,27,13,21,24
"103/06/24",14,40,8,1,12,41,15
"103/06/20",14,36,12,16,33,47,48
"103/06/17",3,6,20,48,18,25,12
"103/06/13",28,32,37,42,4,21,16
"103/06/10",3,32,11,35,33,28,30
"103/06/06",41,29,47,49,25,40,48
"103/06/03",31,32,16,44,35,33,46
"103/05/30",21,9,17,35,24,30,15
"103/05/27",26,19,23,10,39,32,16
"103/05/23",30,11,22,46,17,27,15
"103/05/20",34,33,30,13,35,6,38
"103/05/16",45,41,31,42,14,38,29
"103/05/13",32,20,31,44,29,15,23
"103/05/09",13,1,27,21,37,11,3
"103/05/06",10,46,39,35,40,25,31
"103/05/02",1,25,37,23,7,40,12
"103/04/29",2,46,9,44,30,27,22
"103/04/25",46,24,34,4,38,35,30
"103/04/22",18,37,20,11,12,15,42
"103/04/18",8,48,15,40,9,44,24
"103/04/15",26,44,24,8,35,5,41
"103/04/11",1,3,17,9,12,4,15
"103/04/08",28,27,17,1,45,14,11
"103/04/04",8,24,35,37,41,47,23
"103/04/01",46,18,29,30,47,22,6
"103/03/28",9,18,23,36,47,35,41
"103/03/25",19,25,47,42,30,23,16
"103/03/21",47,26,46,8,31,18,20
"103/03/18",26,40,35,39,12,28,16
"103/03/14",47,8,40,41,27,2,28
"103/03/11",40,20,15,16,13,43,14
"103/03/07",38,26,6,37,18,30,16
"103/03/04",43,8,40,35,37,26,6
"103/02/28",17,24,13,18,32,28,37
"103/02/25",13,9,5,3,46,12,4
"103/02/21",11,12,23,40,28,48,9
"103/02/18",47,19,6,26,32,20,35
"103/02/14",24,10,48,33,20,19,1
"103/02/11",15,31,21,6,44,22,41
"103/02/07",22,5,28,11,21,12,25
"103/02/04",19,46,32,12,42,8,28
"103/02/03",2,16,27,30,17,1,48
"103/02/02",14,45,3,24,19,13,5
"103/02/01",36,37,13,19,9,6,27
"103/01/31",38,17,23,49,48,27,19
"103/01/30",9,22,49,48,45,44,8
"103/01/28",2,30,7,26,5,1,24
"103/01/24",4,20,29,41,45,1,36
"103/01/21",22,43,12,44,38,15,9
"103/01/17",20,29,13,15,26,36,37
"103/01/14",11,49,2,45,41,21,26
"103/01/10",7,19,17,30,37,32,3
"103/01/07",1,7,25,36,21,35,39
"103/01/03",11,35,21,18,37,20,8
